"","Site","Time","BP","NO","NO2","NOX","O3","PM10","PM2.5","SOLR","TMP","WDIR","WSPD"
"1","GR4","26/11/2008 15:00",1014,39.9,53.1,114.3,0,29.5,23,53,6,282,2.3
"2","GR4","26/11/2008 16:00",1015,62.7,60.7,156.8,0,31.1,24,-2,5,286,2
"3","GR4","26/11/2008 17:00",1016,56.4,64.5,151.10001,0,28.6,24,-3,5,303,1.9
"4","GR4","26/11/2008 18:00",1017,43,64.1,130.10001,0,26.8,24,-3,5,271,2
"5","GR4","26/11/2008 19:00",1017,25.3,58.3,97.1,0,23.7,20,-3,4,298,1.6
"6","GR4","26/11/2008 20:00",1018,15.3,51.6,75.1,2.5,23.3,20,-3,4,288,1.5
"7","GR4","26/11/2008 21:00",1018,7.5,42.1,53.5,4,22.9,20,-3,3,299,1.5
"8","GR4","26/11/2008 22:00",1019,5.9,40.2,49.2,4.5,23.6,20,-3,3,284,1.6
"9","GR4","26/11/2008 23:00",1019,2.5,27.7,31.6,12.5,24.5,22,-4,2,277,0.6
"10","GR4","27/11/2008 00:00",1019,2.5,23.9,27.7,12,22.7,21,-4,2,253,0.4
"11","GR4","27/11/2008 01:00",1019,1.6,14.3,16.7,24.6,22.5,19,-4,1,242,1.1
"12","GR4","27/11/2008 02:00",1019,1.6,9.1,11.5,27.7,23,20,-4,0,238,0.9
"13","GR4","27/11/2008 03:00",1019,1.2,8.1,10,21,20.3,20,-4,0,251,1.1
"14","GR4","27/11/2008 04:00",1019,1.2,7.2,9.1,25.4,16,16,-4,1,251,1.3
"15","GR4","27/11/2008 05:00",1018,1.6,8.6,11,25.4,14.6,14,-3,2,263,1.1
"16","GR4","27/11/2008 06:00",1018,3.7,16.7,22.5,21.5,16.8,14,-3,3,260,1.1
"17","GR4","27/11/2008 07:00",1018,4.4,21.5,28.2,22,17.1,12,-1,3,268,1.4
"18","GR4","27/11/2008 08:00",1018,5,23.9,31.6,22.5,15.8,13,28,4,278,1.5
"19","GR4","27/11/2008 09:00",1018,6.5,20.6,30.6,27.9,12.4,13,55,5,268,1.3
"20","GR4","27/11/2008 10:00",1018,5.3,17.2,25.3,34.4,11,9,44,6,258,1.3
