"","Date","Year","Month","Week","Day","TimeHoursNum","NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SO2","lag.1.BP","lag.1.RAIN","lag.1.RHUM","lag.1.SOLR","lag.1.TEMP","lag.1.WDIR","lag.1.WSPD","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SO2","lag.2.BP","lag.2.RAIN","lag.2.RHUM","lag.2.SOLR","lag.2.TEMP","lag.2.WDIR","lag.2.WSPD","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SO2","lag.3.BP","lag.3.RAIN","lag.3.RHUM","lag.3.SOLR","lag.3.TEMP","lag.3.WDIR","lag.3.WSPD"
"1",2010-09-27,2010,9,39,"Monday",6,5.6,24.9,33.5,4,11.4,8,3.9,1004,0,93,10,9,237,1.6,0.3,6.2,6.7,62.9,20.1,9,2.4,996,0,73,82,16,219,2.2,0.3,5.3,5.7,58.4,10.1,8,2.4,996,0,78,126,16,215,1.5,0.9,4.3,5.7,54.9,12.1,6,1.9,996,0,82,143,17,199,1.5
"2",2010-09-27,2010,9,39,"Monday",7,8.1,25.3,37.8,5.5,14.5,11,4.4,1004,0,93,47,9,255,1.7,5.6,24.9,33.5,4,11.4,8,3.9,1004,0,93,10,9,237,1.6,0.3,6.2,6.7,62.9,20.1,9,2.4,996,0,73,82,16,219,2.2,0.3,5.3,5.7,58.4,10.1,8,2.4,996,0,78,126,16,215,1.5
"3",2010-09-27,2010,9,39,"Monday",8,6.5,23,33,9,14.5,10,3.4,1004,1,93,94,10,258,2,8.1,25.3,37.8,5.5,14.5,11,4.4,1004,0,93,47,9,255,1.7,5.6,24.9,33.5,4,11.4,8,3.9,1004,0,93,10,9,237,1.6,0.3,6.2,6.7,62.9,20.1,9,2.4,996,0,73,82,16,219,2.2
"4",2010-09-27,2010,9,39,"Monday",9,7.2,22,33,13.5,15.4,11,2.9,1004,0,90,113,11,270,2.2,6.5,23,33,9,14.5,10,3.4,1004,1,93,94,10,258,2,8.1,25.3,37.8,5.5,14.5,11,4.4,1004,0,93,47,9,255,1.7,5.6,24.9,33.5,4,11.4,8,3.9,1004,0,93,10,9,237,1.6
"5",2010-09-27,2010,9,39,"Monday",10,6.9,24.9,35.4,20,15,11,3.4,1004,0,84,160,11,230,2.3,7.2,22,33,13.5,15.4,11,2.9,1004,0,90,113,11,270,2.2,6.5,23,33,9,14.5,10,3.4,1004,1,93,94,10,258,2,8.1,25.3,37.8,5.5,14.5,11,4.4,1004,0,93,47,9,255,1.7
"6",2010-09-27,2010,9,39,"Monday",11,11.2,30.1,47.3,23.9,16.4,11,3.9,1004,0,77,245,12,333,2.1,6.9,24.9,35.4,20,15,11,3.4,1004,0,84,160,11,230,2.3,7.2,22,33,13.5,15.4,11,2.9,1004,0,90,113,11,270,2.2,6.5,23,33,9,14.5,10,3.4,1004,1,93,94,10,258,2
"7",2010-09-27,2010,9,39,"Monday",12,14.7,31.6,54,23,15.7,12,3.4,1003,0,72,255,13,98,2.2,11.2,30.1,47.3,23.9,16.4,11,3.9,1004,0,77,245,12,333,2.1,6.9,24.9,35.4,20,15,11,3.4,1004,0,84,160,11,230,2.3,7.2,22,33,13.5,15.4,11,2.9,1004,0,90,113,11,270,2.2
"8",2010-09-27,2010,9,39,"Monday",13,11.2,35.9,53.1,23,16.4,14,3.4,1003,0,69,113,13,206,2,14.7,31.6,54,23,15.7,12,3.4,1003,0,72,255,13,98,2.2,11.2,30.1,47.3,23.9,16.4,11,3.9,1004,0,77,245,12,333,2.1,6.9,24.9,35.4,20,15,11,3.4,1004,0,84,160,11,230,2.3
"9",2010-09-27,2010,9,39,"Monday",14,8.1,41.6,54,18.5,18.1,14,4.8,1003,0,70,44,12,286,1.6,11.2,35.9,53.1,23,16.4,14,3.4,1003,0,69,113,13,206,2,14.7,31.6,54,23,15.7,12,3.4,1003,0,72,255,13,98,2.2,11.2,30.1,47.3,23.9,16.4,11,3.9,1004,0,77,245,12,333,2.1
"10",2010-09-27,2010,9,39,"Monday",15,18.7,50.2,78.9,6.5,25,13,3.4,1003,0,70,32,12,260,1.7,8.1,41.6,54,18.5,18.1,14,4.8,1003,0,70,44,12,286,1.6,11.2,35.9,53.1,23,16.4,14,3.4,1003,0,69,113,13,206,2,14.7,31.6,54,23,15.7,12,3.4,1003,0,72,255,13,98,2.2
