"","Site","Time","NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD","NO.Bin","NO2.Bin","NOX.Bin","O3.Bin","PM10.Bin","PM2.5.Bin","SO2.Bin","BP.Bin","RAIN.Bin","RHUM.Bin","SOLR.Bin","TEMP.Bin","WDIR.Bin","WSPD.Bin"
"23411","GR4","2/9/10 10:00",2.5,13.4,17.2,70.3,29.2,14,6.1,1013,1,59,436,17,83,1.6,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23412","GR4","2/9/10 11:00",2.5,10,13.9,72.8,27,12,6.1,1013,2,56,577,18,99,1.9,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23413","GR4","2/9/10 12:00",2.5,12.4,16.3,76.3,30.7,16,6.1,1013,0,52,737,19,108,2,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23414","GR4","2/9/10 13:00",2.2,12.4,15.8,81.8,30.7,15,4.7,1012,2,55,754,19,93,1.9,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23415","GR4","2/9/10 14:00",1.2,11.5,13.4,86.8,28.1,13,4.2,1012,0,59,692,19,109,2,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23416","GR4","2/9/10 15:00",1.6,13.4,15.8,84.8,28.9,15,3.3,1012,0,61,472,19,99,1.8,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23417","GR4","2/9/10 16:00",1.2,12.4,14.3,87.3,27.1,16,2.8,1012,0,63,270,19,100,1.5,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23418","GR4","2/9/10 17:00",1.2,13.4,15.3,86.3,22.9,15,2.9,1012,0,66,139,18,106,1.3,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23419","GR4","2/9/10 18:00",0,15.3,15.3,80.3,21.6,15,2.9,1012,0,71,18,16,107,1,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23420","GR4","2/9/10 19:00",0,21,21,63.9,24.8,16,2.4,1012,0,76,-1,15,103,0.6,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23421","GR4","2/9/10 20:00",0,28.7,28.7,49.9,28.9,21,2.4,1012,0,79,-2,14,75,0.5,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23422","GR4","2/9/10 21:00",0.3,33.9,34.4,41.9,25.3,18,2.9,1012,0,84,-2,13,67,0.4,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23423","GR4","2/9/10 22:00",0.6,32,33,31.4,21.5,14,3.3,1013,0,86,-2,12,59,0.2,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
"23424","GR4","2/9/10 23:00",0.3,25.3,25.8,31.4,18.9,12,2.9,1013,0,89,-2,11,28,0.3,"NO","NO2","NOX","O3","PM10","PM2.5","SO2","BP","RAIN","RHUM","SOLR","TEMP","WDIR","WSPD"
