"","Site","Time","BP","NO","NO2","NOX","O3","PM10","PM2.5","SOLR","TMP","WDIR","WSPD","TimeHours","TimeHoursNum","Date","Year","Month","Week","Day","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"1","GR4","27/04/2009 09:00",1000,5,10.5,18.2,59.4,12.2,6,367,14,116,2,"09:00",9,2009-04-27,2009,4,17,"Monday",1000,10.9,16.7,33.5,51.4,12.5,10,211,12,113,1.6,1000,2.5,16.7,20.6,59.9,18.1,13,64,10,101,1.1,1001,3.4,17.7,23,54.9,23.6,17,36,8,102,1
"2","GR4","27/04/2009 10:00",999,5.3,7.7,15.8,68.4,12.4,10,504,15,156,1.7,"10:00",10,2009-04-27,2009,4,17,"Monday",1000,5,10.5,18.2,59.4,12.2,6,367,14,116,2,1000,10.9,16.7,33.5,51.4,12.5,10,211,12,113,1.6,1000,2.5,16.7,20.6,59.9,18.1,13,64,10,101,1.1
"3","GR4","27/04/2009 11:00",999,3.4,5.3,10.5,67.9,11.8,11,478,16,161,1.4,"11:00",11,2009-04-27,2009,4,17,"Monday",999,5.3,7.7,15.8,68.4,12.4,10,504,15,156,1.7,1000,5,10.5,18.2,59.4,12.2,6,367,14,116,2,1000,10.9,16.7,33.5,51.4,12.5,10,211,12,113,1.6
"4","GR4","27/04/2009 12:00",998,2.2,8.6,12,73.8,11,9,697,16,159,1.5,"12:00",12,2009-04-27,2009,4,17,"Monday",999,3.4,5.3,10.5,67.9,11.8,11,478,16,161,1.4,999,5.3,7.7,15.8,68.4,12.4,10,504,15,156,1.7,1000,5,10.5,18.2,59.4,12.2,6,367,14,116,2
"5","GR4","27/04/2009 13:00",997,14,25.8,47.3,75.3,11.7,8,873,17,180,1.7,"13:00",13,2009-04-27,2009,4,17,"Monday",998,2.2,8.6,12,73.8,11,9,697,16,159,1.5,999,3.4,5.3,10.5,67.9,11.8,11,478,16,161,1.4,999,5.3,7.7,15.8,68.4,12.4,10,504,15,156,1.7
"6","GR4","27/04/2009 14:00",997,3.1,17.7,22.5,75.3,11.8,11,857,17,170,1.5,"14:00",14,2009-04-27,2009,4,17,"Monday",997,14,25.8,47.3,75.3,11.7,8,873,17,180,1.7,998,2.2,8.6,12,73.8,11,9,697,16,159,1.5,999,3.4,5.3,10.5,67.9,11.8,11,478,16,161,1.4
"7","GR4","27/04/2009 15:00",996,3.1,14.8,19.6,73.8,8.3,6,652,16,171,1.5,"15:00",15,2009-04-27,2009,4,17,"Monday",997,3.1,17.7,22.5,75.3,11.8,11,857,17,170,1.5,997,14,25.8,47.3,75.3,11.7,8,873,17,180,1.7,998,2.2,8.6,12,73.8,11,9,697,16,159,1.5
"8","GR4","27/04/2009 16:00",996,2.2,16.7,20.1,69.4,11.7,7,351,16,207,1.3,"16:00",16,2009-04-27,2009,4,17,"Monday",996,3.1,14.8,19.6,73.8,8.3,6,652,16,171,1.5,997,3.1,17.7,22.5,75.3,11.8,11,857,17,170,1.5,997,14,25.8,47.3,75.3,11.7,8,873,17,180,1.7
"9","GR4","28/04/2009 09:00",988,5.3,21,29.2,52.9,21,15,113,10,183,1.9,"09:00",9,2009-04-28,2009,4,17,"Tuesday",988,10,24.9,40.2,44.9,23.8,19,98,10,175,1,989,20.6,35.4,66.9,22.5,26.4,18,90,10,185,1.7,990,25.3,39.2,77.9,9.5,20,15,57,9,192,1.4
"10","GR4","28/04/2009 10:00",987,4.1,21.5,27.7,54.9,18.8,12,234,10,191,2.4,"10:00",10,2009-04-28,2009,4,17,"Tuesday",988,5.3,21,29.2,52.9,21,15,113,10,183,1.9,988,10,24.9,40.2,44.9,23.8,19,98,10,175,1,989,20.6,35.4,66.9,22.5,26.4,18,90,10,185,1.7
