"","Site","Time","NO","NO2","NOX","PM10","PM2.5","SOLR","WDIR","WSPD"
"1","HR1","25/04/2012 05:00",1.3,21.4,23.3,18,16,27,60,1.6
"2","HR1","25/04/2012 06:00",1.4,16.7,18.9,11,4,71,62,1.8
"3","HR1","25/04/2012 07:00",1.9,28.4,31.2,7.2,4,63,65,1.7
"4","HR1","25/04/2012 08:00",3,30.9,35.4,10.1,4,87,71,2.2
"5","HR1","25/04/2012 09:00",3.2,30.7,35.6,7.9,1,120,82,2.6
"6","HR1","25/04/2012 10:00",2.5,23.8,27.7,8.4,7,16,91,2.4
"7","HR1","25/04/2012 11:00",2.5,15.5,19.2,13.4,9,377,75,1.7
"8","HR1","25/04/2012 12:00",2.4,13.6,17.3,8.2,8,109,79,1.7
"9","HR1","25/04/2012 13:00",3.2,19.6,24.5,8.3,9,205,81,1.7
"10","HR1","25/04/2012 14:00",3.5,28.9,34.3,13.1,8,133,89,2.8
"11","HR1","25/04/2012 15:00",3.4,21.5,26.7,15.9,11,39,93,2.6
"12","HR1","25/04/2012 16:00",1.6,13.2,15.6,17,11,29,90,3.4
"13","HR1","25/04/2012 17:00",1,11.5,13,13.5,14,6,88,2.6
"14","HR1","25/04/2012 18:00",1,10.6,12,12.6,10,5,88,2.5
"15","HR1","25/04/2012 19:00",0.9,9.2,10.6,9.4,11,5,88,2.5
"16","HR1","25/04/2012 20:00",0.3,8.3,8.7,11.1,6,6,92,2.7
"17","HR1","25/04/2012 21:00",0.3,5.9,6.4,10.3,9,6,91,2.8
"18","HR1","25/04/2012 22:00",0.4,3.8,4.3,11.8,12,6,96,2.1
"19","HR1","25/04/2012 23:00",0.4,3.2,3.8,15.4,11,6,92,1.8
"20","HR1","26/04/2012 00:00",0.4,2.7,3.4,13.4,4,6,87,2.2
"21","HR1","26/04/2012 01:00",0.5,4.1,4.8,10.2,5,6,93,2.5
"22","HR1","26/04/2012 02:00",0.5,3.1,3.8,11.2,13,6,103,1.2
"23","HR1","26/04/2012 03:00",0.2,4.2,4.6,9.4,5,70,104,1.3
"24","HR1","26/04/2012 04:00",0.6,8.6,9.5,5.8,2,62,98,1.6
"25","HR1","26/04/2012 05:00",1.5,16.9,19.1,8.1,3,120,96,1.7
"26","HR1","26/04/2012 06:00",2.5,22.3,26.1,4,0,293,104,1.8
"27","HR1","26/04/2012 07:00",3.5,24.6,30.1,7.3,5,516,104,2.1
"28","HR1","26/04/2012 08:00",2.4,13.9,17.5,12,14,377,107,2.1
"29","HR1","26/04/2012 09:00",2.2,9.6,13,8.1,8,377,107,2.1
"30","HR1","26/04/2012 10:00",1.9,7.8,10.7,12.4,7,534,107,2.3
"31","HR1","26/04/2012 11:00",2.1,9.7,12.8,15.1,3,156,108,1.9
"32","HR1","26/04/2012 12:00",1.7,7.2,9.9,7.8,9,173,112,2
"33","HR1","26/04/2012 13:00",1.2,7,8.8,13.1,3,238,106,2.2
"34","HR1","26/04/2012 14:00",1.1,9.3,11,16.5,12,197,109,1.7
"35","HR1","26/04/2012 15:00",1,8.9,10.5,11.8,6,124,102,1.8
"36","HR1","26/04/2012 16:00",1.3,10.6,12.7,12,8,21,103,1.8
