,Time,CO,NO2,NOX,O3,PM10,SOLR,TMP,WDIR,WSPD
1,21/02/2007 15:00,0.3,74,76.1,189.2,31.9,158,12,252,5.5
2,21/02/2007 16:00,0.6,86,86.1,218.3,25.9,41,11,240,5.3
3,21/02/2007 17:00,0.6,74,109.1,222.3,20,2,10,219,4
4,21/02/2007 18:00,0.7,71,113.1,222.3,18,0,9,223,4
5,21/02/2007 19:00,0.6,81,103.1,227.3,16,0,8,209,4
6,21/02/2007 20:00,0.7,69,109.1,214.3,22,0,8,188,4.3
7,21/02/2007 21:00,0.6,58,96.1,183.2,27.9,0,8,202,4
8,21/02/2007 22:00,0.6,123.9,111.1,300.39999,29.9,0,8,182,3.5
9,21/02/2007 23:00,0.3,6,32,42.1,37.9,0,8,174,3
10,22/02/2007 00:00,0.3,8,27,38,43.9,0,8,180,3
11,22/02/2007 01:00,0.2,3,19,23,45.9,0,9,179,3
12,22/02/2007 02:00,0.2,1,15,17,53.9,0,8,174,4.3
13,22/02/2007 03:00,0.2,3,13,17,57.9,0,9,181,5
14,22/02/2007 04:00,0.3,3,15,19,59.9,0,9,187,5
15,22/02/2007 05:00,0.2,3,15,19,59.9,0,9,183,5
16,22/02/2007 06:00,0.3,4,29,34,45.9,0,9,189,5.3
17,22/02/2007 07:00,0.3,10,44.1,59.1,39.9,10,9,191,6
18,22/02/2007 08:00,0.3,13,42.1,61.1,37.9,26,9,191,6.8
19,22/02/2007 09:00,0.5,13,40.1,59.1,39.9,48,9,191,6.8
20,22/02/2007 10:00,0.5,16,46.1,71.1,41.9,76,10,190,6.3
21,22/02/2007 11:00,0.5,15,42.1,65.1,41.9,83,10,189,7
22,22/02/2007 12:00,0.5,15,44.1,67.1,37.9,44,9,186,6.3
23,22/02/2007 13:00,0.6,14,44.1,65.1,33.9,46,9,190,6
24,22/02/2007 14:00,0.6,21,53.1,86.1,25.9,34,9,188,5.8
25,22/02/2007 15:00,0.6,68,103.1,206.3,22,32,10,188,5
26,22/02/2007 16:00,0.7,73,78.1,189.2,22,34,10,189,4.8
27,22/02/2007 17:00,0.7,74,96.1,208.3,14,2,11,197,4
28,22/02/2007 18:00,0.7,81,99.1,223.3,20,0,10,187,3.8
29,22/02/2007 19:00,0.7,95.9,103.1,250.3,18,0,10,191,4
30,22/02/2007 20:00,0.7,99.9,86.1,239.3,16,0,9,169,2.5
31,22/02/2007 21:00,0.7,109.9,92.1,260.29999,20,0,9,159,3
32,22/02/2007 22:00,0.7,102.9,96.1,252.3,22,0,9,172,3.3
33,22/02/2007 23:00,0.3,1,25,27,41.9,0,8,149,3.3
34,23/02/2007 00:00,0.3,4,19,25,51.9,0,9,149,3.8
35,23/02/2007 01:00,0.3,1,23,25,51.9,0,9,135,3.3
36,23/02/2007 02:00,0.2,1,11,13,67.9,0,9,202,4
37,23/02/2007 03:00,0.2,1,10,11,77.8,0,9,203,4.8
38,23/02/2007 04:00,0.2,1,13,15,77.8,0,9,213,4.8
39,23/02/2007 05:00,0.3,1,27,29,65.9,0,8,208,4.3
40,23/02/2007 06:00,0.5,8,57.1,69.1,35.9,1,8,197,3.3
41,23/02/2007 07:00,0.5,20,76.1,107.1,23.9,35,9,190,3.5
42,23/02/2007 08:00,0.5,19,61.1,90.1,33.9,84,10,199,4.5
43,23/02/2007 09:00,0.6,15,48.1,71.1,43.9,136,11,190,5
44,23/02/2007 10:00,0.6,14,46.1,67.1,49.9,157,11,190,5
45,23/02/2007 11:00,0.5,14,44.1,65.1,55.9,232,12,197,6
46,23/02/2007 12:00,0.6,15,44.1,67.1,49.9,172,12,203,6
47,23/02/2007 13:00,0.6,14,53.1,74.1,41.9,66,12,206,5.5
48,23/02/2007 14:00,0.6,13,50.1,69.1,45.9,93,12,198,5.3
49,23/02/2007 15:00,0.6,38,59.1,117.2,39.9,80,12,190,5.3
50,23/02/2007 16:00,0.6,69,90.1,195.3,37.9,14,11,195,5.3
51,23/02/2007 17:00,0.5,55,76.1,160.2,35.9,2,10,185,4.8
52,23/02/2007 18:00,0.6,50,80.1,157.2,35.9,0,11,182,4.8
53,23/02/2007 19:00,0.7,85,84.1,214.3,31.9,0,11,179,4.5
54,23/02/2007 20:00,0.7,61,96.1,189.2,35.9,0,11,178,4.8
55,23/02/2007 21:00,0.6,93.9,80.1,223.3,29.9,0,10,174,3.3
56,23/02/2007 22:00,0.5,108.9,78.1,244.3,27.9,0,9,178,2.5
57,23/02/2007 23:00,0.3,11,17,34,57.9,0,10,171,4.3
58,24/02/2007 01:00,0.3,1,10,11,65.9,0,9,170,4.3
59,24/02/2007 02:00,0.3,1,13,15,67.9,0,9,182,3.8
60,24/02/2007 03:00,0.3,1,11,13,69.8,0,9,164,2.8
61,24/02/2007 04:00,0.3,1,11,13,67.9,0,8,154,2
62,24/02/2007 05:00,0.3,3,31,34,43.9,0,8,185,2
63,24/02/2007 06:00,0.5,8,55.1,67.1,29.9,1,9,234,2.8
64,24/02/2007 07:00,0.3,11,40.1,57.1,35.9,14,8,273,3.5
65,24/02/2007 08:00,0.3,14,32,53.1,39.9,58,9,273,4.5
66,24/02/2007 09:00,0.5,11,29,46.1,45.9,149,10,270,4.5
67,24/02/2007 10:00,0.5,10,31,46.1,45.9,171,11,260,5.5
68,24/02/2007 11:00,0.5,11,32,50.1,47.9,153,10,259,6
69,24/02/2007 12:00,0.5,6,15,25,57.9,306,12,265,6.8
70,24/02/2007 13:00,0.5,8,19,31,55.9,135,12,271,6
71,24/02/2007 14:00,0.5,10,27,42.1,57.9,124,12,260,6.5
72,24/02/2007 15:00,0.5,60,69.1,160.2,23.9,45,12,260,5.5
73,24/02/2007 16:00,0.6,84,78.1,206.3,29.9,47,11,246,5.5
74,24/02/2007 17:00,0.5,89.9,94.1,231.3,20,3,10,239,5.3
75,24/02/2007 18:00,0.7,81,107.1,231.3,18,0,10,223,4.5
76,24/02/2007 19:00,0.6,75,99.1,214.3,22,0,10,226,5
77,24/02/2007 20:00,0.6,80,101.1,223.3,27.9,0,10,225,4.8
78,24/02/2007 21:00,0.6,59,80.1,170.2,33.9,0,10,218,4
79,24/02/2007 22:00,0.5,89,80.1,216.3,35.9,0,9,207,4
80,24/02/2007 23:00,0.5,5,23,31,51.9,0,9,184,2.8
81,25/02/2007 01:00,0.2,0,4,4,85.8,0,6,259,4
82,25/02/2007 02:00,0.2,1,6,8,77.8,0,5,242,4.3
83,25/02/2007 03:00,0.2,1,6,8,75.8,0,5,248,4.3
84,25/02/2007 04:00,0.2,1,11,13,67.9,0,5,237,3
