"","Site","Time","BP","NO","NO2","NOX","O3","PM10","SO2","TMP","WDIR"
"1","TH1","01/07/2008 15:00",807,1.5,15.7,18,119.3,32.4,0.7,22,276
"2","TH1","07/08/2008 15:00",1001,3,26.1,30.7,71.8,17,0.3,25,185
"3","TH1","07/08/2008 16:00",1001,1.2,21.7,23.5,78.9,15.9,0.3,25,166
"4","TH1","07/08/2008 17:00",1000,1.5,25.5,27.8,72.9,20.3,1,25,189
"5","TH1","07/08/2008 18:00",1000,1.5,35.6,37.9,53.7,20.6,0.3,24,189
"6","TH1","07/08/2008 19:00",1000,0.6,36.6,37.5,49.9,15.1,0.3,23,212
"7","TH1","07/08/2008 20:00",1001,0.9,45.7,47.1,35.7,15.7,0.4,21,146
"8","TH1","07/08/2008 21:00",1001,1.8,56.3,59.1,19.8,18.9,0.4,19,161
"9","TH1","07/08/2008 22:00",1000,0.9,38.5,39.9,35.1,17,0.4,18,139
"10","TH1","07/08/2008 23:00",999,0.6,42.8,43.7,26.9,18,0.4,17,250
"11","TH1","08/08/2008 00:00",999,0.6,31.3,32.2,31.9,17.2,0.4,17,257
"12","TH1","08/08/2008 01:00",998,0.8,28.9,30.1,28.4,14.9,0.4,17,201
"13","TH1","08/08/2008 02:00",998,0.4,29.5,30.1,24,13.9,-0.5,17,133
"14","TH1","08/08/2008 03:00",998,0.9,23.1,24.5,24.2,13.9,-0.2,17,101
"15","TH1","08/08/2008 04:00",997,1.2,22.2,24,29.1,14.8,0.5,17,238
"16","TH1","08/08/2008 05:00",997,3.9,27.5,33.5,21.5,17.5,0.5,17,223
"17","TH1","08/08/2008 06:00",997,7.8,29.6,41.6,19.8,19.8,0.5,17,233
"18","TH1","08/08/2008 07:00",998,11.7,29.7,47.7,24.8,27.1,0.5,18,235
"19","TH1","08/08/2008 08:00",997,7.8,28.6,40.7,37.9,15.7,0.6,18,245
"20","TH1","08/08/2008 09:00",997,7.5,26.2,37.8,35.7,12.3,0.6,19,224
"21","TH1","08/08/2008 10:00",997,5.4,21.8,30.1,37.3,14.3,0.6,20,177
"22","TH1","08/08/2008 11:00",996,4.2,20.3,26.8,42.8,16.1,0.6,20,212
"23","TH1","08/08/2008 12:00",996,4.2,24.7,31.1,44.4,18.2,0.6,20,204
"24","TH1","08/08/2008 13:00",995,3.3,18.4,23.5,48.3,16.4,0.7,22,215
"25","TH1","08/08/2008 14:00",995,3.3,21.8,26.8,54.8,14.9,0.7,23,206
"26","TH1","08/08/2008 15:00",995,3,25.6,30.2,49.3,16.1,0.7,22,210
"27","TH1","08/08/2008 16:00",995,4.8,27.1,34.5,46.6,11.5,0.7,22,209
"28","TH1","08/08/2008 17:00",995,2.7,27.5,31.7,48.8,13.1,0.7,21,224
"29","TH1","08/08/2008 18:00",995,5.1,52.1,60,24.2,18.6,0.7,21,219
"30","TH1","08/08/2008 19:00",996,2.7,49.2,53.3,24.7,18.2,0.8,19,231
"31","TH1","08/08/2008 20:00",996,1.2,40.9,42.8,26.9,16.5,0.8,18,233
"32","TH1","08/08/2008 21:00",997,2.7,52.5,56.7,8.3,21.5,0.1,18,221
"33","TH1","08/08/2008 22:00",997,1.5,44.8,47.1,11.6,19.4,0.8,18,249
"34","TH1","08/08/2008 23:00",997,2.7,49.7,53.8,5.6,19,-0.6,17,237
"35","TH1","09/08/2008 00:00",997,2.4,42.9,46.6,15.4,13.5,0.9,17,231
"36","TH1","09/08/2008 01:00",997,3.2,39.3,44.2,18.9,12.1,0.9,16,226
"37","TH1","09/08/2008 02:00",997,0,23.7,23.7,34.2,14.1,-1.9,16,251
"38","TH1","09/08/2008 03:00",998,1.2,25.1,26.9,24.2,15.4,-0.5,16,255
"39","TH1","09/08/2008 04:00",998,0.6,24.1,25,25.3,18.2,0.2,16,263
"40","TH1","09/08/2008 05:00",999,1.2,15,16.8,37.9,14.9,0.9,16,262
"41","TH1","09/08/2008 06:00",999,3.6,17.9,23.5,40,16.4,1,16,281
"42","TH1","09/08/2008 07:00",1000,4.5,18.4,25.4,49.3,10.1,0.3,17,238
"43","TH1","09/08/2008 08:00",1000,8.4,23.9,36.8,46.6,14.5,3.1,18,287
"44","TH1","09/08/2008 09:00",1001,12.1,33.6,52.1,42.2,17.8,2.4,18,244
"45","TH1","09/08/2008 10:00",1002,13.6,36.6,57.4,39.5,16.9,1,17,260
"46","TH1","09/08/2008 11:00",1003,12.7,38.5,57.9,37.9,23.9,1.1,17,174
"47","TH1","09/08/2008 12:00",1004,14.8,41,63.6,32.4,12.6,1.1,16,259
