Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG1,NO,01/01/2016 00:00,,ug m-3,R
BG1,NO,01/01/2016 01:00,,ug m-3,R
BG1,NO,01/01/2016 02:00,22.90000,ug m-3,R
BG1,NO,01/01/2016 03:00,26.90000,ug m-3,R
BG1,NO,01/01/2016 04:00,19.20000,ug m-3,R
BG1,NO,01/01/2016 05:00,6.50000,ug m-3,R
BG1,NO,01/01/2016 06:00,9.90000,ug m-3,R
BG1,NO,01/01/2016 07:00,8.40000,ug m-3,R
BG1,NO,01/01/2016 08:00,5.00000,ug m-3,R
BG1,NO,01/01/2016 09:00,6.50000,ug m-3,R
BG1,NO,01/01/2016 10:00,5.00000,ug m-3,R
BG1,NO,01/01/2016 11:00,3.40000,ug m-3,R
BG1,NO,01/01/2016 12:00,3.10000,ug m-3,R
BG1,NO,01/01/2016 13:00,3.40000,ug m-3,R
BG1,NO,01/01/2016 14:00,2.50000,ug m-3,R
BG1,NO,01/01/2016 15:00,1.20000,ug m-3,R
BG1,NO,01/01/2016 16:00,1.20000,ug m-3,R
BG1,NO,01/01/2016 17:00,1.20000,ug m-3,R
BG1,NO,01/01/2016 18:00,1.20000,ug m-3,R
BG1,NO,01/01/2016 19:00,1.20000,ug m-3,R
BG1,NO,01/01/2016 20:00,1.20000,ug m-3,R
BG1,NO,01/01/2016 21:00,1.20000,ug m-3,R
BG1,NO,01/01/2016 22:00,1.20000,ug m-3,R
BG1,NO,01/01/2016 23:00,0.90000,ug m-3,R
BG1,NO,02/01/2016 00:00,0.80000,ug m-3,R
BG1,NO,02/01/2016 01:00,,ug m-3,R
BG1,NO,02/01/2016 02:00,0.90000,ug m-3,R
BG1,NO,02/01/2016 03:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 04:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 05:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 06:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 07:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 08:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 09:00,2.20000,ug m-3,R
BG1,NO,02/01/2016 10:00,1.50000,ug m-3,R
BG1,NO,02/01/2016 11:00,1.90000,ug m-3,R
BG1,NO,02/01/2016 12:00,2.20000,ug m-3,R
BG1,NO,02/01/2016 13:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 14:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 15:00,1.50000,ug m-3,R
BG1,NO,02/01/2016 16:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 17:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 18:00,1.50000,ug m-3,R
BG1,NO,02/01/2016 19:00,1.50000,ug m-3,R
BG1,NO,02/01/2016 20:00,2.20000,ug m-3,R
BG1,NO,02/01/2016 21:00,1.20000,ug m-3,R
BG1,NO,02/01/2016 22:00,1.50000,ug m-3,R
BG1,NO,02/01/2016 23:00,1.90000,ug m-3,R
BG1,NO,03/01/2016 00:00,1.20000,ug m-3,R
BG1,NO,03/01/2016 01:00,,ug m-3,R
BG1,NO,03/01/2016 02:00,0.90000,ug m-3,R
BG1,NO,03/01/2016 03:00,0.00000,ug m-3,R
BG1,NO,03/01/2016 04:00,0.30000,ug m-3,R
BG1,NO,03/01/2016 05:00,0.90000,ug m-3,R
BG1,NO,03/01/2016 06:00,1.20000,ug m-3,R
BG1,NO,03/01/2016 07:00,1.90000,ug m-3,R
BG1,NO,03/01/2016 08:00,2.20000,ug m-3,R
BG1,NO,03/01/2016 09:00,1.50000,ug m-3,R
BG1,NO,03/01/2016 10:00,1.20000,ug m-3,R
BG1,NO,03/01/2016 11:00,1.20000,ug m-3,R
BG1,NO,03/01/2016 12:00,1.20000,ug m-3,R
BG1,NO,03/01/2016 13:00,1.20000,ug m-3,R
BG1,NO,03/01/2016 14:00,1.90000,ug m-3,R
BG1,NO,03/01/2016 15:00,1.20000,ug m-3,R
BG1,NO,03/01/2016 16:00,2.20000,ug m-3,R
BG1,NO,03/01/2016 17:00,1.20000,ug m-3,R
BG1,NO,03/01/2016 18:00,3.10000,ug m-3,R
BG1,NO,03/01/2016 19:00,7.10000,ug m-3,R
BG1,NO,03/01/2016 20:00,28.80000,ug m-3,R
BG1,NO,03/01/2016 21:00,27.50000,ug m-3,R
BG1,NO,03/01/2016 22:00,30.60000,ug m-3,R
BG1,NO,03/01/2016 23:00,24.10000,ug m-3,R
BG1,NO,04/01/2016 00:00,,ug m-3,R
BG1,NO,04/01/2016 01:00,,ug m-3,R
BG1,NO,04/01/2016 02:00,1.20000,ug m-3,R
BG1,NO,04/01/2016 03:00,1.20000,ug m-3,R
BG1,NO,04/01/2016 04:00,1.50000,ug m-3,R
BG1,NO,04/01/2016 05:00,2.20000,ug m-3,R
BG1,NO,04/01/2016 06:00,3.40000,ug m-3,R
BG1,NO,04/01/2016 07:00,5.60000,ug m-3,R
BG1,NO,04/01/2016 08:00,9.90000,ug m-3,R
BG1,NO,04/01/2016 09:00,8.40000,ug m-3,R
BG1,NO,04/01/2016 10:00,4.60000,ug m-3,R
BG1,NO,04/01/2016 11:00,3.70000,ug m-3,R
BG1,NO,04/01/2016 12:00,2.50000,ug m-3,R
BG1,NO,04/01/2016 13:00,2.20000,ug m-3,R
BG1,NO,04/01/2016 14:00,2.80000,ug m-3,R
BG1,NO,04/01/2016 15:00,4.60000,ug m-3,R
BG1,NO,04/01/2016 16:00,5.30000,ug m-3,R
BG1,NO,04/01/2016 17:00,6.80000,ug m-3,R
BG1,NO,04/01/2016 18:00,4.30000,ug m-3,R
BG1,NO,04/01/2016 19:00,2.80000,ug m-3,R
BG1,NO,04/01/2016 20:00,1.20000,ug m-3,R
BG1,NO,04/01/2016 21:00,1.20000,ug m-3,R
BG1,NO,04/01/2016 22:00,1.20000,ug m-3,R
BG1,NO,04/01/2016 23:00,0.90000,ug m-3,R
BG1,NO,05/01/2016 00:00,1.20000,ug m-3,R
BG1,NO,05/01/2016 01:00,,ug m-3,R
BG1,NO,05/01/2016 02:00,0.90000,ug m-3,R
