Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
GR4,PM2.5,01/01/2014 00:00,4.80000,ug/m3,R
GR4,PM2.5,01/01/2014 01:00,3.00000,ug/m3,R
GR4,PM2.5,01/01/2014 02:00,2.00000,ug/m3,R
GR4,PM2.5,01/01/2014 03:00,2.50000,ug/m3,R
GR4,PM2.5,01/01/2014 04:00,4.30000,ug/m3,R
GR4,PM2.5,01/01/2014 05:00,4.90000,ug/m3,R
GR4,PM2.5,01/01/2014 06:00,3.80000,ug/m3,R
GR4,PM2.5,01/01/2014 07:00,8.60000,ug/m3,R
GR4,PM2.5,01/01/2014 08:00,7.10000,ug/m3,R
GR4,PM2.5,01/01/2014 09:00,6.40000,ug/m3,R
GR4,PM2.5,01/01/2014 10:00,5.50000,ug/m3,R
GR4,PM2.5,01/01/2014 11:00,3.60000,ug/m3,R
GR4,PM2.5,01/01/2014 12:00,3.50000,ug/m3,R
GR4,PM2.5,01/01/2014 13:00,3.10000,ug/m3,R
GR4,PM2.5,01/01/2014 14:00,4.00000,ug/m3,R
GR4,PM2.5,01/01/2014 15:00,3.40000,ug/m3,R
GR4,PM2.5,01/01/2014 16:00,1.70000,ug/m3,R
GR4,PM2.5,01/01/2014 17:00,3.60000,ug/m3,R
GR4,PM2.5,01/01/2014 18:00,2.90000,ug/m3,R
GR4,PM2.5,01/01/2014 19:00,3.90000,ug/m3,R
GR4,PM2.5,01/01/2014 20:00,5.80000,ug/m3,R
GR4,PM2.5,01/01/2014 21:00,6.90000,ug/m3,R
GR4,PM2.5,01/01/2014 22:00,3.20000,ug/m3,R
GR4,PM2.5,01/01/2014 23:00,4.00000,ug/m3,R
GR4,PM2.5,02/01/2014 00:00,9.10000,ug/m3,R
GR4,PM2.5,02/01/2014 01:00,4.90000,ug/m3,R
GR4,PM2.5,02/01/2014 02:00,3.30000,ug/m3,R
GR4,PM2.5,02/01/2014 03:00,5.70000,ug/m3,R
GR4,PM2.5,02/01/2014 04:00,2.80000,ug/m3,R
GR4,PM2.5,02/01/2014 05:00,6.00000,ug/m3,R
GR4,PM2.5,02/01/2014 06:00,4.50000,ug/m3,R
GR4,PM2.5,02/01/2014 07:00,5.10000,ug/m3,R
GR4,PM2.5,02/01/2014 08:00,2.50000,ug/m3,R
GR4,PM2.5,02/01/2014 09:00,3.00000,ug/m3,R
GR4,PM2.5,02/01/2014 10:00,5.00000,ug/m3,R
GR4,PM2.5,02/01/2014 11:00,6.70000,ug/m3,R
GR4,PM2.5,02/01/2014 12:00,6.40000,ug/m3,R
GR4,PM2.5,02/01/2014 13:00,6.30000,ug/m3,R
GR4,PM2.5,02/01/2014 14:00,6.50000,ug/m3,R
GR4,PM2.5,02/01/2014 15:00,9.00000,ug/m3,R
GR4,PM2.5,02/01/2014 16:00,7.00000,ug/m3,R
GR4,PM2.5,02/01/2014 17:00,8.00000,ug/m3,R
GR4,PM2.5,02/01/2014 18:00,3.90000,ug/m3,R
GR4,PM2.5,02/01/2014 19:00,6.70000,ug/m3,R
GR4,PM2.5,02/01/2014 20:00,8.80000,ug/m3,R
GR4,PM2.5,02/01/2014 21:00,8.50000,ug/m3,R
GR4,PM2.5,02/01/2014 22:00,5.00000,ug/m3,R
GR4,PM2.5,02/01/2014 23:00,7.50000,ug/m3,R
GR4,PM2.5,03/01/2014 00:00,4.40000,ug/m3,R
GR4,PM2.5,03/01/2014 01:00,4.50000,ug/m3,R
GR4,PM2.5,03/01/2014 02:00,0.10000,ug/m3,R
GR4,PM2.5,03/01/2014 03:00,6.70000,ug/m3,R
GR4,PM2.5,03/01/2014 04:00,9.40000,ug/m3,R
GR4,PM2.5,03/01/2014 05:00,7.50000,ug/m3,R
GR4,PM2.5,03/01/2014 06:00,11.20000,ug/m3,R
GR4,PM2.5,03/01/2014 07:00,8.20000,ug/m3,R
GR4,PM2.5,03/01/2014 08:00,3.80000,ug/m3,R
GR4,PM2.5,03/01/2014 09:00,2.70000,ug/m3,R
GR4,PM2.5,03/01/2014 10:00,1.70000,ug/m3,R
GR4,PM2.5,03/01/2014 11:00,8.90000,ug/m3,R
GR4,PM2.5,03/01/2014 12:00,2.70000,ug/m3,R
GR4,PM2.5,03/01/2014 13:00,14.50000,ug/m3,R
GR4,PM2.5,03/01/2014 14:00,7.20000,ug/m3,R
GR4,PM2.5,03/01/2014 15:00,9.20000,ug/m3,R
GR4,PM2.5,03/01/2014 16:00,7.00000,ug/m3,R
GR4,PM2.5,03/01/2014 17:00,6.70000,ug/m3,R
GR4,PM2.5,03/01/2014 18:00,8.20000,ug/m3,R
