Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG1,SOLR,1/1/08 0:00,0,W/m2,P
BG1,SOLR,1/1/08 1:00,0,W/m2,P
BG1,SOLR,1/1/08 2:00,0,W/m2,P
BG1,SOLR,1/1/08 3:00,0,W/m2,P
BG1,SOLR,1/1/08 4:00,0,W/m2,P
BG1,SOLR,1/1/08 5:00,0,W/m2,P
BG1,SOLR,1/1/08 6:00,0,W/m2,P
BG1,SOLR,1/1/08 7:00,1,W/m2,P
BG1,SOLR,1/1/08 8:00,10,W/m2,P
BG1,SOLR,1/1/08 9:00,39,W/m2,P
BG1,SOLR,1/1/08 10:00,72,W/m2,P
BG1,SOLR,1/1/08 11:00,64,W/m2,P
BG1,SOLR,1/1/08 12:00,69,W/m2,P
BG1,SOLR,1/1/08 13:00,83,W/m2,P
BG1,SOLR,1/1/08 14:00,59,W/m2,P
BG1,SOLR,1/1/08 15:00,9,W/m2,P
BG1,SOLR,1/1/08 16:00,1,W/m2,P
BG1,SOLR,1/1/08 17:00,0,W/m2,P
BG1,SOLR,1/1/08 18:00,0,W/m2,P
BG1,SOLR,1/1/08 19:00,0,W/m2,P
BG1,SOLR,1/1/08 20:00,0,W/m2,P
BG1,SOLR,1/1/08 21:00,0,W/m2,P
BG1,SOLR,1/1/08 22:00,0,W/m2,P
BG1,SOLR,1/1/08 23:00,0,W/m2,P
BG1,SOLR,2/1/08 0:00,0,W/m2,P
BG1,SOLR,2/1/08 1:00,0,W/m2,P
BG1,SOLR,2/1/08 2:00,0,W/m2,P
BG1,SOLR,2/1/08 3:00,0,W/m2,P
BG1,SOLR,2/1/08 4:00,0,W/m2,P
BG1,SOLR,2/1/08 5:00,0,W/m2,P
BG1,SOLR,2/1/08 6:00,0,W/m2,P
BG1,SOLR,2/1/08 7:00,1,W/m2,P
BG1,SOLR,2/1/08 8:00,3,W/m2,P
BG1,SOLR,2/1/08 9:00,45,W/m2,P
BG1,SOLR,2/1/08 10:00,83,W/m2,P
BG1,SOLR,2/1/08 11:00,82,W/m2,P
BG1,SOLR,2/1/08 12:00,104,W/m2,P
BG1,SOLR,2/1/08 13:00,123,W/m2,P
BG1,SOLR,2/1/08 14:00,89,W/m2,P
BG1,SOLR,2/1/08 15:00,22,W/m2,P
BG1,SOLR,2/1/08 16:00,1,W/m2,P
BG1,SOLR,2/1/08 17:00,0,W/m2,P
BG1,SOLR,2/1/08 18:00,0,W/m2,P
BG1,SOLR,2/1/08 19:00,0,W/m2,P
BG1,SOLR,2/1/08 20:00,0,W/m2,P
BG1,SOLR,2/1/08 21:00,0,W/m2,P
BG1,SOLR,2/1/08 22:00,0,W/m2,P
BG1,SOLR,2/1/08 23:00,0,W/m2,P
BG1,SOLR,3/1/08 0:00,0,W/m2,P
BG1,SOLR,3/1/08 1:00,0,W/m2,P
BG1,SOLR,3/1/08 2:00,0,W/m2,P
BG1,SOLR,3/1/08 3:00,0,W/m2,P
BG1,SOLR,3/1/08 4:00,0,W/m2,P
BG1,SOLR,3/1/08 5:00,0,W/m2,P
BG1,SOLR,3/1/08 6:00,0,W/m2,P
BG1,SOLR,3/1/08 7:00,1,W/m2,P
BG1,SOLR,3/1/08 8:00,4,W/m2,P
BG1,SOLR,3/1/08 9:00,8,W/m2,P
BG1,SOLR,3/1/08 10:00,29,W/m2,P
BG1,SOLR,3/1/08 11:00,21,W/m2,P
BG1,SOLR,3/1/08 12:00,50,W/m2,P
BG1,SOLR,3/1/08 13:00,30,W/m2,P
BG1,SOLR,3/1/08 14:00,16,W/m2,P
BG1,SOLR,3/1/08 15:00,4,W/m2,P
BG1,SOLR,3/1/08 16:00,1,W/m2,P
BG1,SOLR,3/1/08 17:00,0,W/m2,P
BG1,SOLR,3/1/08 18:00,0,W/m2,P
BG1,SOLR,3/1/08 19:00,0,W/m2,P
BG1,SOLR,3/1/08 20:00,0,W/m2,P
BG1,SOLR,3/1/08 21:00,0,W/m2,P
BG1,SOLR,3/1/08 22:00,0,W/m2,P
BG1,SOLR,3/1/08 23:00,0,W/m2,P
BG1,SOLR,4/1/08 0:00,0,W/m2,P
BG1,SOLR,4/1/08 1:00,0,W/m2,P
BG1,SOLR,4/1/08 2:00,0,W/m2,P
BG1,SOLR,4/1/08 3:00,0,W/m2,P
BG1,SOLR,4/1/08 4:00,0,W/m2,P
BG1,SOLR,4/1/08 5:00,0,W/m2,P
BG1,SOLR,4/1/08 6:00,0,W/m2,P
BG1,SOLR,4/1/08 7:00,1,W/m2,P
BG1,SOLR,4/1/08 8:00,8,W/m2,P
BG1,SOLR,4/1/08 9:00,16,W/m2,P
BG1,SOLR,4/1/08 10:00,41,W/m2,P
BG1,SOLR,4/1/08 11:00,42,W/m2,P
BG1,SOLR,4/1/08 12:00,41,W/m2,P
BG1,SOLR,4/1/08 13:00,23,W/m2,P
BG1,SOLR,4/1/08 14:00,9,W/m2,P
BG1,SOLR,4/1/08 15:00,4,W/m2,P
BG1,SOLR,4/1/08 16:00,1,W/m2,P
BG1,SOLR,4/1/08 17:00,0,W/m2,P
BG1,SOLR,4/1/08 18:00,0,W/m2,P
BG1,SOLR,4/1/08 19:00,0,W/m2,P
BG1,SOLR,4/1/08 20:00,0,W/m2,P
BG1,SOLR,4/1/08 21:00,0,W/m2,P
BG1,SOLR,4/1/08 22:00,0,W/m2,P
BG1,SOLR,4/1/08 23:00,0,W/m2,P
