Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
GR4,NOX,1/1/08 0:00,50.2,ug m-3 as NO2,R
GR4,NOX,1/1/08 1:00,40.2,ug m-3 as NO2,R
GR4,NOX,1/1/08 2:00,22.3,ug m-3 as NO2,R
GR4,NOX,1/1/08 3:00,21.5,ug m-3 as NO2,R
GR4,NOX,1/1/08 4:00,19.6,ug m-3 as NO2,R
GR4,NOX,1/1/08 5:00,10,ug m-3 as NO2,R
GR4,NOX,1/1/08 6:00,13.9,ug m-3 as NO2,R
GR4,NOX,1/1/08 7:00,21.5,ug m-3 as NO2,R
GR4,NOX,1/1/08 8:00,39.2,ug m-3 as NO2,R
GR4,NOX,1/1/08 9:00,45.4,ug m-3 as NO2,R
GR4,NOX,1/1/08 10:00,47.3,ug m-3 as NO2,R
GR4,NOX,1/1/08 11:00,31.6,ug m-3 as NO2,R
GR4,NOX,1/1/08 12:00,32.5,ug m-3 as NO2,R
GR4,NOX,1/1/08 13:00,35.9,ug m-3 as NO2,R
GR4,NOX,1/1/08 14:00,35.4,ug m-3 as NO2,R
GR4,NOX,1/1/08 15:00,44.5,ug m-3 as NO2,R
GR4,NOX,1/1/08 16:00,60.2,ug m-3 as NO2,R
GR4,NOX,1/1/08 17:00,53.1,ug m-3 as NO2,R
GR4,NOX,1/1/08 18:00,47.3,ug m-3 as NO2,R
GR4,NOX,1/1/08 19:00,58.8,ug m-3 as NO2,R
GR4,NOX,1/1/08 20:00,66.5,ug m-3 as NO2,R
GR4,NOX,1/1/08 21:00,69.3,ug m-3 as NO2,R
GR4,NOX,1/1/08 22:00,61.7,ug m-3 as NO2,R
GR4,NOX,1/1/08 23:00,67.9,ug m-3 as NO2,R
GR4,NOX,2/1/08 0:00,58.8,ug m-3 as NO2,R
GR4,NOX,2/1/08 1:00,33.8,ug m-3 as NO2,R
GR4,NOX,2/1/08 2:00,9.6,ug m-3 as NO2,R
GR4,NOX,2/1/08 3:00,12,ug m-3 as NO2,R
GR4,NOX,2/1/08 4:00,17.7,ug m-3 as NO2,R
GR4,NOX,2/1/08 5:00,30.1,ug m-3 as NO2,R
GR4,NOX,2/1/08 6:00,32.5,ug m-3 as NO2,R
GR4,NOX,2/1/08 7:00,26.8,ug m-3 as NO2,R
GR4,NOX,2/1/08 8:00,32,ug m-3 as NO2,R
GR4,NOX,2/1/08 9:00,27.3,ug m-3 as NO2,R
GR4,NOX,2/1/08 10:00,31.1,ug m-3 as NO2,R
GR4,NOX,2/1/08 11:00,33.5,ug m-3 as NO2,R
GR4,NOX,2/1/08 12:00,42.7,ug m-3 as NO2,R
GR4,NOX,2/1/08 13:00,,ug m-3 as NO2,R
GR4,NOX,2/1/08 14:00,41.1,ug m-3 as NO2,R
GR4,NOX,2/1/08 15:00,54.5,ug m-3 as NO2,R
GR4,NOX,2/1/08 16:00,70.8,ug m-3 as NO2,R
GR4,NOX,2/1/08 17:00,65,ug m-3 as NO2,R
GR4,NOX,2/1/08 18:00,86.5,ug m-3 as NO2,R
GR4,NOX,2/1/08 19:00,75.1,ug m-3 as NO2,R
GR4,NOX,2/1/08 20:00,47.3,ug m-3 as NO2,R
GR4,NOX,2/1/08 21:00,39.2,ug m-3 as NO2,R
GR4,NOX,2/1/08 22:00,29.6,ug m-3 as NO2,R
GR4,NOX,2/1/08 23:00,36.3,ug m-3 as NO2,R
GR4,NOX,3/1/08 0:00,32.5,ug m-3 as NO2,R
GR4,NOX,3/1/08 1:00,26.8,ug m-3 as NO2,R
GR4,NOX,3/1/08 2:00,23,ug m-3 as NO2,R
GR4,NOX,3/1/08 3:00,16.3,ug m-3 as NO2,R
GR4,NOX,3/1/08 4:00,26.8,ug m-3 as NO2,R
GR4,NOX,3/1/08 5:00,35.4,ug m-3 as NO2,R
GR4,NOX,3/1/08 6:00,42.6,ug m-3 as NO2,R
GR4,NOX,3/1/08 7:00,62.6,ug m-3 as NO2,R
GR4,NOX,3/1/08 8:00,55.9,ug m-3 as NO2,R
GR4,NOX,3/1/08 9:00,59.3,ug m-3 as NO2,R
GR4,NOX,3/1/08 10:00,61.2,ug m-3 as NO2,R
GR4,NOX,3/1/08 11:00,64.1,ug m-3 as NO2,R
GR4,NOX,3/1/08 12:00,69.3,ug m-3 as NO2,R
GR4,NOX,3/1/08 13:00,84.2,ug m-3 as NO2,R
GR4,NOX,3/1/08 14:00,84.2,ug m-3 as NO2,R
GR4,NOX,3/1/08 15:00,88,ug m-3 as NO2,R
GR4,NOX,3/1/08 16:00,101.8,ug m-3 as NO2,R
GR4,NOX,3/1/08 17:00,110,ug m-3 as NO2,R
GR4,NOX,3/1/08 18:00,71.7,ug m-3 as NO2,R
GR4,NOX,3/1/08 19:00,66,ug m-3 as NO2,R
GR4,NOX,3/1/08 20:00,93.2,ug m-3 as NO2,R
GR4,NOX,3/1/08 21:00,66.5,ug m-3 as NO2,R
GR4,NOX,3/1/08 22:00,62.6,ug m-3 as NO2,R
GR4,NOX,3/1/08 23:00,58.8,ug m-3 as NO2,R
GR4,NOX,4/1/08 0:00,56.9,ug m-3 as NO2,R
GR4,NOX,4/1/08 1:00,51,ug m-3 as NO2,R
GR4,NOX,4/1/08 2:00,40.2,ug m-3 as NO2,R
GR4,NOX,4/1/08 3:00,41.6,ug m-3 as NO2,R
