Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
GR4,O3,1/1/08 0:00,9,ug m-3,R
GR4,O3,1/1/08 1:00,12.6,ug m-3,R
GR4,O3,1/1/08 2:00,33.9,ug m-3,R
GR4,O3,1/1/08 3:00,29.9,ug m-3,R
GR4,O3,1/1/08 4:00,25.9,ug m-3,R
GR4,O3,1/1/08 5:00,17,ug m-3,R
GR4,O3,1/1/08 6:00,10,ug m-3,R
GR4,O3,1/1/08 7:00,10,ug m-3,R
GR4,O3,1/1/08 8:00,10,ug m-3,R
GR4,O3,1/1/08 9:00,14.5,ug m-3,R
GR4,O3,1/1/08 10:00,19.5,ug m-3,R
GR4,O3,1/1/08 11:00,29.4,ug m-3,R
GR4,O3,1/1/08 12:00,32.4,ug m-3,R
GR4,O3,1/1/08 13:00,31.4,ug m-3,R
GR4,O3,1/1/08 14:00,29.9,ug m-3,R
GR4,O3,1/1/08 15:00,19,ug m-3,R
GR4,O3,1/1/08 16:00,10,ug m-3,R
GR4,O3,1/1/08 17:00,5.5,ug m-3,R
GR4,O3,1/1/08 18:00,2.5,ug m-3,R
GR4,O3,1/1/08 19:00,3,ug m-3,R
GR4,O3,1/1/08 20:00,3.5,ug m-3,R
GR4,O3,1/1/08 21:00,0.5,ug m-3,R
GR4,O3,1/1/08 22:00,0.5,ug m-3,R
GR4,O3,1/1/08 23:00,2,ug m-3,R
GR4,O3,2/1/08 0:00,0,ug m-3,R
GR4,O3,2/1/08 1:00,10,ug m-3,R
GR4,O3,2/1/08 2:00,34.6,ug m-3,R
GR4,O3,2/1/08 3:00,27.4,ug m-3,R
GR4,O3,2/1/08 4:00,20.5,ug m-3,R
GR4,O3,2/1/08 5:00,15,ug m-3,R
GR4,O3,2/1/08 6:00,20,ug m-3,R
GR4,O3,2/1/08 7:00,28.4,ug m-3,R
GR4,O3,2/1/08 8:00,27.4,ug m-3,R
GR4,O3,2/1/08 9:00,28.9,ug m-3,R
GR4,O3,2/1/08 10:00,22.5,ug m-3,R
GR4,O3,2/1/08 11:00,22.5,ug m-3,R
GR4,O3,2/1/08 12:00,21.5,ug m-3,R
GR4,O3,2/1/08 13:00,,ug m-3,R
GR4,O3,2/1/08 14:00,28.4,ug m-3,R
GR4,O3,2/1/08 15:00,16,ug m-3,R
GR4,O3,2/1/08 16:00,6.5,ug m-3,R
GR4,O3,2/1/08 17:00,6.5,ug m-3,R
GR4,O3,2/1/08 18:00,0,ug m-3,R
GR4,O3,2/1/08 19:00,2.5,ug m-3,R
GR4,O3,2/1/08 20:00,13,ug m-3,R
GR4,O3,2/1/08 21:00,14,ug m-3,R
GR4,O3,2/1/08 22:00,19.5,ug m-3,R
GR4,O3,2/1/08 23:00,17.5,ug m-3,R
GR4,O3,3/1/08 0:00,5.5,ug m-3,R
GR4,O3,3/1/08 1:00,15.3,ug m-3,R
GR4,O3,3/1/08 2:00,29.3,ug m-3,R
GR4,O3,3/1/08 3:00,35.4,ug m-3,R
GR4,O3,3/1/08 4:00,29.9,ug m-3,R
GR4,O3,3/1/08 5:00,38.4,ug m-3,R
GR4,O3,3/1/08 6:00,26.4,ug m-3,R
GR4,O3,3/1/08 7:00,13,ug m-3,R
GR4,O3,3/1/08 8:00,23.4,ug m-3,R
GR4,O3,3/1/08 9:00,9,ug m-3,R
GR4,O3,3/1/08 10:00,9,ug m-3,R
GR4,O3,3/1/08 11:00,15,ug m-3,R
GR4,O3,3/1/08 12:00,11.5,ug m-3,R
GR4,O3,3/1/08 13:00,7.5,ug m-3,R
GR4,O3,3/1/08 14:00,4,ug m-3,R
GR4,O3,3/1/08 15:00,0.5,ug m-3,R
GR4,O3,3/1/08 16:00,2.5,ug m-3,R
GR4,O3,3/1/08 17:00,4,ug m-3,R
GR4,O3,3/1/08 18:00,1,ug m-3,R
GR4,O3,3/1/08 19:00,0,ug m-3,R
GR4,O3,3/1/08 20:00,1,ug m-3,R
GR4,O3,3/1/08 21:00,1.5,ug m-3,R
GR4,O3,3/1/08 22:00,0.5,ug m-3,R
GR4,O3,3/1/08 23:00,1.5,ug m-3,R
GR4,O3,4/1/08 0:00,2,ug m-3,R
GR4,O3,4/1/08 1:00,2,ug m-3,R
GR4,O3,4/1/08 2:00,4,ug m-3,R
GR4,O3,4/1/08 3:00,2,ug m-3,R
GR4,O3,4/1/08 4:00,2,ug m-3,R
GR4,O3,4/1/08 5:00,2.5,ug m-3,R
GR4,O3,4/1/08 6:00,2,ug m-3,R
GR4,O3,4/1/08 7:00,2,ug m-3,R
GR4,O3,4/1/08 8:00,2,ug m-3,R
GR4,O3,4/1/08 9:00,2.5,ug m-3,R
GR4,O3,4/1/08 10:00,7.5,ug m-3,R
GR4,O3,4/1/08 11:00,11.5,ug m-3,R
GR4,O3,4/1/08 12:00,17.5,ug m-3,R
GR4,O3,4/1/08 13:00,31.4,ug m-3,R
GR4,O3,4/1/08 14:00,33.4,ug m-3,R
GR4,O3,4/1/08 15:00,32.9,ug m-3,R
GR4,O3,4/1/08 16:00,47.4,ug m-3,R
GR4,O3,4/1/08 17:00,37.4,ug m-3,R
GR4,O3,4/1/08 18:00,44.9,ug m-3,R
GR4,O3,4/1/08 19:00,18,ug m-3,R
GR4,O3,4/1/08 20:00,26.9,ug m-3,R
GR4,O3,4/1/08 21:00,59.4,ug m-3,R
GR4,O3,4/1/08 22:00,56.9,ug m-3,R
GR4,O3,4/1/08 23:00,74.8,ug m-3,R
