"","predictions.test","NO2","BP","SOLR","TMP","WDIR","WSPD","TimeHours","lag.1.BP","lag.1.NO","lag.1.NO2","lag.1.NOX","lag.1.O3","lag.1.PM10","lag.1.PM2.5","lag.1.SOLR","lag.1.TMP","lag.1.WDIR","lag.1.WSPD","lag.2.BP","lag.2.NO","lag.2.NO2","lag.2.NOX","lag.2.O3","lag.2.PM10","lag.2.PM2.5","lag.2.SOLR","lag.2.TMP","lag.2.WDIR","lag.2.WSPD","lag.3.BP","lag.3.NO","lag.3.NO2","lag.3.NOX","lag.3.O3","lag.3.PM10","lag.3.PM2.5","lag.3.SOLR","lag.3.TMP","lag.3.WDIR","lag.3.WSPD"
"3",9.96405333333334,5.3,999,478,16,161,1.4,"11:00",999,5.3,7.7,15.8,68.4,12.4,10,504,15,156,1.7,1000,5,10.5,18.2,59.4,12.2,6,367,14,116,2,1000,10.9,16.7,33.5,51.4,12.5,10,211,12,113,1.6
"7",18.8870233333333,14.8,996,652,16,171,1.5,"15:00",997,3.1,17.7,22.5,75.3,11.8,11,857,17,170,1.5,997,14,25.8,47.3,75.3,11.7,8,873,17,180,1.7,998,2.2,8.6,12,73.8,11,9,697,16,159,1.5
"8",17.0320633333333,16.7,996,351,16,207,1.3,"16:00",996,3.1,14.8,19.6,73.8,8.3,6,652,16,171,1.5,997,3.1,17.7,22.5,75.3,11.8,11,857,17,170,1.5,997,14,25.8,47.3,75.3,11.7,8,873,17,180,1.7
"9",24.9351533333333,21,988,113,10,183,1.9,"09:00",988,10,24.9,40.2,44.9,23.8,19,98,10,175,1,989,20.6,35.4,66.9,22.5,26.4,18,90,10,185,1.7,990,25.3,39.2,77.9,9.5,20,15,57,9,192,1.4
"18",14.6860566666667,5.3,992,127,10,217,0.9,"10:00",992,5.9,13.4,22.5,76.3,11.5,10,245,10,183,0.8,992,6.2,17.7,27.3,64.9,23.2,19,205,10,130,0.8,991,43.3,51.6,118.1,18.5,38.7,26,70,7,128,0.5
"21",10.99578,12.9,993,256,12,176,1,"13:00",993,7.8,8.1,20.1,87.8,12.4,8,179,11,132,0.6,992,6.2,4.8,14.3,87.8,13.5,10,105,11,188,0.3,992,1.9,5.3,8.1,85.3,11.3,7,127,10,217,0.9
"25",19.2952266666667,13.9,1000,389,13,150,1,"09:00",1000,5.6,21,29.6,36.9,32.3,23,217,12,179,0.9,999,7.5,33,44.5,29.4,31.9,24,68,9,230,0.4,999,5.3,36.3,44.5,29.4,32.4,23,37,7,168,0.2
"27",10.3636433333333,7.7,1001,698,15,175,1.5,"11:00",1000,1.9,9.1,12,53.9,22.2,15,558,14,155,1.4,1000,4.7,13.9,21,42.4,29.1,22,389,13,150,1,1000,5.6,21,29.6,36.9,32.3,23,217,12,179,0.9
"29",10.2825833333333,11,1001,381,16,185,1.5,"13:00",1001,1.9,9.1,12,56.4,20.5,15,680,16,189,1.5,1001,1.9,7.7,10.5,57.9,23.5,14,698,15,175,1.5,1000,1.9,9.1,12,53.9,22.2,15,558,14,155,1.4
"30",11.8576,10,1002,611,16,205,2,"14:00",1001,6.2,11,20.6,57.4,21.4,15,381,16,185,1.5,1001,1.9,9.1,12,56.4,20.5,15,680,16,189,1.5,1001,1.9,7.7,10.5,57.9,23.5,14,698,15,175,1.5
"31",10.32843,9.6,1002,645,16,202,1.9,"15:00",1002,2.8,10,14.3,59.4,15.3,11,611,16,205,2,1001,6.2,11,20.6,57.4,21.4,15,381,16,185,1.5,1001,1.9,9.1,12,56.4,20.5,15,680,16,189,1.5
"32",10.8050566666667,9.1,1002,357,16,198,1.3,"16:00",1002,3.1,9.6,14.3,64.4,14,9,645,16,202,1.9,1002,2.8,10,14.3,59.4,15.3,11,611,16,205,2,1001,6.2,11,20.6,57.4,21.4,15,381,16,185,1.5
"35",12.05297,7.7,1006,246,15,129,1.4,"11:00",1006,10.3,11.5,27.3,73.3,23.1,14,240,14,143,1.3,1006,2.2,9.1,12.4,76.8,27.7,16,114,13,127,1,1006,4.4,18.6,25.3,66.9,25.9,17,195,12,140,1.5
"42",29.0877633333333,29.6,1009,464,20,184,1,"10:00",1009,12.2,35.4,54,29.4,45.6,28,368,20,227,1.2,1009,9.7,36.8,51.6,30.9,43.4,27,219,19,241,1,1009,21.2,50.4,82.9,14.5,46.3,28,89,17,259,0.9
"54",16.4949333333333,12,1005,139,19,94,1.9,"14:00",1005,9,15.8,29.6,59.4,19.9,14,126,21,153,0.6,1005,4.1,13.9,20.1,58.9,21.7,14,636,22,136,1,1006,5.3,14.8,23,54.4,25.8,18,489,21,151,1.1
"56",9.75485333333332,7.7,1004,195,20,215,1.5,"16:00",1005,0.9,8.1,9.6,71.8,23.7,16,238,19,101,1.9,1005,3.7,12,17.7,68.4,24.5,17,139,19,94,1.9,1005,9,15.8,29.6,59.4,19.9,14,126,21,153,0.6
"64",6.16808666666667,3.8,1014,125,20,205,2.1,"16:00",1014,1.2,2.9,4.8,90.3,33.4,14,179,21,180,0.7,1014,1.2,1,2.9,90.8,50.6,16,663,22,212,1.2,1014,4.7,4.8,12,83.8,31,12,527,21,113,0.9
"66",12.73735,6.7,1009,389,20,218,2.2,"10:00",1010,5.9,12.9,22,48.4,9.2,10,303,20,182,1.5,1010,4.7,11.5,18.6,45.4,21.6,11,251,19,186,1.3,1011,7.5,19.6,31.1,29.4,24.2,14,143,18,159,0.9
