"","Model","Data.Set","Response","Formula","AIC","RMSE","MSE","MAE","R2","RMSLE"
"1","NO2 Stepwise Variable Selection Time 9","Training","NO2","lag.1.NO2 + lag.2.NO2 + lag.3.RAIN + lag.3.PM10 + lag.1.RHUM + lag.2.RHUM + lag.2.NOX + lag.3.SO2 + lag.1.O3",1130.778507,5.089381276,25.90180178,3.682615596,0.890398869,0.292713229
"2","NO2 Stepwise Variable Selection Time 9","Testing","NO2","lag.1.NO2 + lag.2.NO2 + lag.3.RAIN + lag.3.PM10 + lag.1.RHUM + lag.2.RHUM + lag.2.NOX + lag.3.SO2 + lag.1.O3",1130.778507,5.774162014,33.34094697,4.656763692,0.8469628,0.308685159
"3","NO2 Stepwise Variable Selection Time 10","Training","NO2","lag.1.NO2 + lag.1.NO + lag.2.NO2 + lag.3.PM10 + lag.1.RHUM + lag.2.RHUM + lag.3.BP + lag.3.SO2 + lag.2.NOX + lag.1.PM2.5 + lag.3.TEMP + lag.1.TEMP",1221.842334,6.429187039,41.33444599,4.9534647,0.817819851,0.497150638
"4","NO2 Stepwise Variable Selection Time 10","Testing","NO2","lag.1.NO2 + lag.1.NO + lag.2.NO2 + lag.3.PM10 + lag.1.RHUM + lag.2.RHUM + lag.3.BP + lag.3.SO2 + lag.2.NOX + lag.1.PM2.5 + lag.3.TEMP + lag.1.TEMP",1221.842334,7.213680038,52.03717968,5.954263874,0.736504785,NA
"5","NO2 Stepwise Variable Selection Time 11","Training","NO2","lag.1.NO2 + lag.2.NO2 + lag.3.PM2.5 + lag.1.RHUM + lag.2.RHUM + lag.3.BP + lag.2.NOX + lag.3.SO2 + Day + lag.3.TEMP + lag.2.TEMP",1272.670005,7.311844348,53.46306776,5.553802341,0.710947096,NA
"6","NO2 Stepwise Variable Selection Time 11","Testing","NO2","lag.1.NO2 + lag.2.NO2 + lag.3.PM2.5 + lag.1.RHUM + lag.2.RHUM + lag.3.BP + lag.2.NOX + lag.3.SO2 + Day + lag.3.TEMP + lag.2.TEMP",1272.670005,8.105425008,65.69791456,6.10066774,0.569566534,NA
"7","NO2 Stepwise Variable Selection Time 12","Training","NO2","lag.1.NO2 + lag.3.BP + lag.3.TEMP + lag.1.TEMP + lag.2.NOX + lag.3.SO2 + lag.3.O3",1296.343574,8.109160623,65.758486,6.031105566,0.57960117,NA
"8","NO2 Stepwise Variable Selection Time 12","Testing","NO2","lag.1.NO2 + lag.3.BP + lag.3.TEMP + lag.1.TEMP + lag.2.NOX + lag.3.SO2 + lag.3.O3",1296.343574,8.169459711,66.74007197,6.192884306,0.522035048,NA
"9","NO2 Stepwise Variable Selection Time 13","Training","NO2","lag.1.NOX + lag.1.O3 + lag.3.SO2 + lag.3.BP + lag.1.RHUM + lag.2.RHUM + lag.2.NOX + lag.1.SO2 + lag.1.WDIR",1351.156035,9.323974963,86.93650911,6.945531213,0.484116668,NA
"10","NO2 Stepwise Variable Selection Time 13","Testing","NO2","lag.1.NOX + lag.1.O3 + lag.3.SO2 + lag.3.BP + lag.1.RHUM + lag.2.RHUM + lag.2.NOX + lag.1.SO2 + lag.1.WDIR",1351.156035,9.867932323,97.37608834,7.498695604,0.352680507,0.608112153
